Date,MONTHLY_TOTAL,MONTHLY_NORMAL_8110,MONTHLY_NORMAL_9120
1/1/1981,47.46,32.87,32.03
2/1/1981,51.81,45.40,47.27
3/1/1981,68.65,84.69,84.20
4/1/1981,97.10,107.19,109.80
5/1/1981,128.72,144.07,150.22
6/1/1981,188.24,175.19,176.70
7/1/1981,220.00,197.24,198.73
8/1/1981,180.50,177.50,180.44
9/1/1981,125.30,123.00,123.45
10/1/1981,80.39,73.75,75.34
11/1/1981,60.58,39.22,39.24
12/1/1981,25.93,27.47,28.05
1/1/1982,29.67,32.87,32.03
2/1/1982,41.47,45.40,47.27
3/1/1982,91.09,84.69,84.20
4/1/1982,113.37,107.19,109.80
5/1/1982,155.72,144.07,150.22
6/1/1982,161.32,175.19,176.70
7/1/1982,158.13,197.24,198.73
8/1/1982,180.12,177.50,180.44
9/1/1982,122.10,123.00,123.45
10/1/1982,70.42,73.75,75.34
11/1/1982,38.10,39.22,39.24
12/1/1982,28.28,27.47,28.05
1/1/1983,42.44,32.87,32.03
2/1/1983,41.56,45.40,47.27
3/1/1983,95.00,84.69,84.20
4/1/1983,103.57,107.19,109.80
5/1/1983,126.88,144.07,150.22
6/1/1983,189.17,175.19,176.70
7/1/1983,151.01,197.24,198.73
8/1/1983,144.50,177.50,180.44
9/1/1983,131.23,123.00,123.45
10/1/1983,81.60,73.75,75.34
11/1/1983,29.14,39.22,39.24
12/1/1983,34.43,27.47,28.05
1/1/1984,27.36,32.87,32.03
2/1/1984,53.16,45.40,47.27
3/1/1984,77.98,84.69,84.20
4/1/1984,99.01,107.19,109.80
5/1/1984,123.98,144.07,150.22
6/1/1984,154.66,175.19,176.70
7/1/1984,187.70,197.24,198.73
8/1/1984,181.37,177.50,180.44
9/1/1984,128.96,123.00,123.45
10/1/1984,77.80,73.75,75.34
11/1/1984,31.27,39.22,39.24
12/1/1984,28.62,27.47,28.05
1/1/1985,31.63,32.87,32.03
2/1/1985,33.35,45.40,47.27
3/1/1985,76.42,84.69,84.20
4/1/1985,100.32,107.19,109.80
5/1/1985,125.33,144.07,150.22
6/1/1985,168.44,175.19,176.70
7/1/1985,183.71,197.24,198.73
8/1/1985,185.67,177.50,180.44
9/1/1985,136.59,123.00,123.45
10/1/1985,88.51,73.75,75.34
11/1/1985,34.37,39.22,39.24
12/1/1985,31.32,27.47,28.05
1/1/1986,32.49,32.87,32.03
2/1/1986,30.96,45.40,47.27
3/1/1986,71.81,84.69,84.20
4/1/1986,89.61,107.19,109.80
5/1/1986,153.77,144.07,150.22
6/1/1986,181.61,175.19,176.70
7/1/1986,210.22,197.24,198.73
8/1/1986,161.13,177.50,180.44
9/1/1986,103.98,123.00,123.45
10/1/1986,72.81,73.75,75.34
11/1/1986,41.57,39.22,39.24
12/1/1986,29.58,27.47,28.05
1/1/1987,29.73,32.87,32.03
2/1/1987,36.80,45.40,47.27
3/1/1987,82.77,84.69,84.20
4/1/1987,102.94,107.19,109.80
5/1/1987,159.22,144.07,150.22
6/1/1987,172.69,175.19,176.70
7/1/1987,198.30,197.24,198.73
8/1/1987,171.53,177.50,180.44
9/1/1987,135.81,123.00,123.45
10/1/1987,60.16,73.75,75.34
11/1/1987,39.58,39.22,39.24
12/1/1987,22.38,27.47,28.05
1/1/1988,26.23,32.87,32.03
2/1/1988,47.75,45.40,47.27
3/1/1988,90.87,84.69,84.20
4/1/1988,96.46,107.19,109.80
5/1/1988,118.82,144.07,150.22
6/1/1988,140.12,175.19,176.70
7/1/1988,181.66,197.24,198.73
8/1/1988,179.86,177.50,180.44
9/1/1988,156.19,123.00,123.45
10/1/1988,77.86,73.75,75.34
11/1/1988,33.99,39.22,39.24
12/1/1988,33.70,27.47,28.05
1/1/1989,37.36,32.87,32.03
2/1/1989,50.86,45.40,47.27
