Date,MONTHLY_TOTAL,MONTHLY_NORMAL_8110,MONTHLY_NORMAL_9120
1/1/1981,1.48,62.59,62.17
2/1/1981,20.19,53.91,47.40
3/1/1981,58.86,42.26,48.00
4/1/1981,59.08,46.92,46.30
5/1/1981,31.51,35.18,37.62
6/1/1981,11.16,12.73,11.72
7/1/1981,26.14,6.73,3.38
8/1/1981,1.23,6.55,4.42
9/1/1981,10.92,23.77,24.36
10/1/1981,41.90,68.35,68.29
11/1/1981,0.29,81.78,84.12
12/1/1981,189.14,82.31,71.65
1/1/1982,77.92,62.59,62.17
2/1/1982,61.60,53.91,47.40
3/1/1982,44.21,42.26,48.00
4/1/1982,38.40,46.92,46.30
5/1/1982,2.51,35.18,37.62
6/1/1982,4.85,12.73,11.72
7/1/1982,44.03,6.73,3.38
8/1/1982,7.39,6.55,4.42
9/1/1982,48.58,23.77,24.36
10/1/1982,11.47,68.35,68.29
11/1/1982,50.79,81.78,84.12
12/1/1982,31.00,82.31,71.65
1/1/1983,2.40,62.59,62.17
2/1/1983,32.94,53.91,47.40
3/1/1983,3.68,42.26,48.00
4/1/1983,84.21,46.92,46.30
5/1/1983,35.61,35.18,37.62
6/1/1983,3.08,12.73,11.72
7/1/1983,6.10,6.73,3.38
8/1/1983,48.42,6.55,4.42
9/1/1983,3.56,23.77,24.36
10/1/1983,23.64,68.35,68.29
11/1/1983,205.46,81.78,84.12
12/1/1983,111.13,82.31,71.65
1/1/1984,42.67,62.59,62.17
2/1/1984,5.95,53.91,47.40
3/1/1984,104.43,42.26,48.00
4/1/1984,16.19,46.92,46.30
5/1/1984,46.94,35.18,37.62
6/1/1984,28.34,12.73,11.72
7/1/1984,2.84,6.73,3.38
8/1/1984,6.96,6.55,4.42
9/1/1984,3.68,23.77,24.36
10/1/1984,18.99,68.35,68.29
11/1/1984,138.29,81.78,84.12
12/1/1984,49.91,82.31,71.65
1/1/1985,129.25,62.59,62.17
2/1/1985,142.85,53.91,47.40
3/1/1985,10.26,42.26,48.00
4/1/1985,51.48,46.92,46.30
5/1/1985,28.04,35.18,37.62
6/1/1985,9.40,12.73,11.72
7/1/1985,6.42,6.73,3.38
8/1/1985,0.60,6.55,4.42
9/1/1985,3.52,23.77,24.36
10/1/1985,7.12,68.35,68.29
11/1/1985,80.86,81.78,84.12
12/1/1985,82.91,82.31,71.65
1/1/1986,44.87,62.59,62.17
2/1/1986,122.74,53.91,47.40
3/1/1986,37.26,42.26,48.00
4/1/1986,35.80,46.92,46.30
5/1/1986,19.96,35.18,37.62
6/1/1986,2.38,12.73,11.72
7/1/1986,0.88,6.73,3.38
8/1/1986,4.63,6.55,4.42
9/1/1986,48.70,23.77,24.36
10/1/1986,27.99,68.35,68.29
11/1/1986,64.46,81.78,84.12
12/1/1986,31.31,82.31,71.65
1/1/1987,115.37,62.59,62.17
2/1/1987,115.74,53.91,47.40
3/1/1987,15.93,42.26,48.00
4/1/1987,50.27,46.92,46.30
5/1/1987,4.82,35.18,37.62
6/1/1987,3.15,12.73,11.72
7/1/1987,6.83,6.73,3.38
