timestamp,Q_m3s
1979-10-01,1.15
1979-10-02,1.09
1979-10-03,1.15
1979-10-04,1.29
1979-10-05,1.33
1979-10-06,2.41
1979-10-07,3.21
1979-10-08,2.75
1979-10-09,2.82
1979-10-10,2.32
1979-10-11,2.25
1979-10-12,2.55
1979-10-13,3.76
1979-10-14,9.28
1979-10-15,11.4
1979-10-16,7.99
1979-10-17,5.27
1979-10-18,3.72
1979-10-19,2.97
1979-10-20,3.84
1979-10-21,4.55
1979-10-22,3.92
1979-10-23,3.21
1979-10-24,2.74
1979-10-25,2.51
1979-10-26,2.41
1979-10-27,2.3
1979-10-28,2.2
1979-10-29,2.01
1979-10-30,1.77
1979-10-31,1.64
1979-11-01,1.51
1979-11-02,1.35
1979-11-03,1.24
1979-11-04,1.13
1979-11-05,1.05
1979-11-06,1.05
1979-11-07,1.05
1979-11-08,1.05
1979-11-09,1.05
1979-11-10,1.02
1979-11-11,0.99
1979-11-12,0.99
1979-11-13,1.09
1979-11-14,1.27
1979-11-15,1.29
1979-11-16,1.35
1979-11-17,1.37
1979-11-18,1.39
1979-11-19,1.27
1979-11-20,1.2
1979-11-21,1.16
1979-11-22,1.09
1979-11-23,1.05
1979-11-24,1.02
1979-11-25,0.99
1979-11-26,0.99
1979-11-27,1.07
1979-11-28,1.2
1979-11-29,1.2
1979-11-30,1.2
1979-12-01,1.2
1979-12-02,1.2
1979-12-03,1.2
1979-12-04,1.2
1979-12-05,1.16
1979-12-06,1.13
1979-12-07,1.13
1979-12-08,1.13
1979-12-09,1.13
1979-12-10,1.13
1979-12-11,1.13
1979-12-12,1.13
1979-12-13,1.13
1979-12-14,1.13
1979-12-15,1.13
1979-12-16,1.13
1979-12-17,1.13
1979-12-18,1.13
1979-12-19,1.13
1979-12-20,1.13
1979-12-21,1.13
1979-12-22,1.13
1979-12-23,1.13
1979-12-24,8.8
1979-12-25,24.46
1979-12-26,6.77
1979-12-27,4.07
1979-12-28,3.26
1979-12-29,2.86
1979-12-30,2.41
1979-12-31,2.2
1980-01-01,2.06
1980-01-02,1.91
1980-01-03,1.82
1980-01-04,1.68
1980-01-05,1.6
1980-01-06,1.6
1980-01-07,1.6
1980-01-08,1.6
1980-01-09,1.6
1980-01-10,1.6
1980-01-11,1.6
1980-01-12,1.6
1980-01-13,1.55
